documento,pagina,riga,cup,npp,descrizione,costo_mln,data_messa_in_esercizio
cdp2017,176,A00,,C005,Progetto Ante per Manutenzione straordinaria ed Obblighi di Legge,3.14,31/12/2016
cdp2017,176,A00,,C020,Manutenzione straordinaria navi traghetto,0.33,31/12/2016
cdp2017,176,A00,,C022,Programma Man. straord. ed O.L.-STAZIONI,0.26,31/12/2016
cdp2017,176,A00,,P013,Fondo Opere ultimate,0.44,31/12/2016
cdp2017,176,A00,,R001,Riserve riga A1001,0.02,31/12/2016
cdp2017,176,A00,,R006,Riserve riga DD_1,1.51,31/12/2016
cdp2017,176,A00,,1560,MAN. MEZZI DI MANOVRA TORINO,0.08,31/12/2016
cdp2017,176,A00,,1582,Aumento Produttività su linee AV/AC - Bo,4.55,31/12/2016
cdp2017,176,A00,J11H03000040011,0583,Miglioramenti Infrastrutturali Stazioni,1.28,31/12/2016
cdp2017,176,A00,J11H03000040021,0590,Miglioramenti Infrastrutt. stazioni (VE),0.47,31/12/2016
cdp2017,176,A00,J11H03000040041,0587,MIGLIORAMENTI INFRASTRUTTURALI STAZIONI,0.51,31/12/2016
cdp2017,176,A00,J11H03000060001,1271,Miglioramento sicurezza gallerie ferroviarie - DTP Roma,2.44,31/12/2016
cdp2017,176,A00,J11H03000060011,1272,Miglioramento sicurezza gallerie ferroviarie - DTP Genova,15.14,31/12/2016
cdp2017,176,A00,J11H03000060021,1275,Miglioramento sicurezza gallerie ferroviarie - DTP Napoli,15.57,31/12/2016
cdp2017,176,A00,J11H03000060031,1274,Miglioramento sicurezza gallerie ferroviarie - DTP Firenze,2.47,31/12/2016
cdp2017,176,A00,J11H03000060041,1277,Miglioramento sicurezza gallerie ferroviarie - DTP Bologna,20.74,31/12/2016
cdp2017,176,A00,J11H03000060071,1340,Miglioramento sicurezza gallerie ferroviarie - DTP Reggio Calabria,4.34,31/12/2016
cdp2017,176,A00,J11H03000060081,1341,Miglioramento sicurezza gallerie ferroviarie - DTP Torino,1.81,31/12/2016
cdp2017,176,A00,J11H03000060101,1273,Miglioramento sicurezza gallerie ferroviarie - DTP Milano,13.82,31/12/2016
cdp2017,176,A00,J11H03000070001,1295,Manutenzione mezzi di manovra - Roma,0.6,31/12/2016
cdp2017,176,A00,J11H03000080001,1297,Manut.Mezzi di Manovra-Palermo 2002,0.23,31/12/2016
cdp2017,176,A00,J11J04000020001,1399,Sicurezza nelle gallerie ferroviarie,2.11,31/12/2016
cdp2017,176,A00,J17E00000000001,0556,Fabbricati di stazione POT - PA,0.08,31/12/2016
cdp2017,176,A00,J17E00000000011,0555,Fabbricati di Stazione-Pot-Napoli,0.93,31/12/2016
cdp2017,176,A00,J17E00000000041,0557,Fabbricati di stazione - pot - Reggio C.,1.53,31/12/2016
cdp2017,176,A00,J17E00000000051,0560,Fabbricati di stazione POT - TO,0.16,31/12/2016
cdp2017,176,A00,J17E00000000091,0549,Potenziamento fabbricati di staz.-BA,1.2,31/12/2016
cdp2017,176,A00,J17E00000000101,0548,Potenziamento fabbricati di staz.-AN,0.01,31/12/2016
cdp2017,176,A00,J17E00000000141,0558,Fabbricati di stazione POT - RM,0.55,31/12/2016
cdp2017,176,A00,J17E00000000151,0559,Fabbricati di stazione POT,9.86,31/12/2016
cdp2017,176,A00,J17E00000000171,0550,Fabbricati di stazione POT -BO,0.16,31/12/2016
cdp2017,176,A00,J17E00000010001,0566,Fabbricati di stazione M.E.-AN,2.28,31/12/2016
cdp2017,176,A00,J17E00000010011,0567,Manutenzione Straord. stazioni (BA),4.61,31/12/2016
cdp2017,176,A00,J17E00000010021,0572,Fabbricati di stazione M.E. NA,5.09,31/12/2016
cdp2017,176,A00,J17E00000010031,0575,Manutenzione straordinaria stazioni,15.14,31/12/2016
cdp2017,176,A00,J17E00000010041,0574,Fabbricati di stazione M.E. - RC,3.67,31/12/2016
cdp2017,176,A00,J17E00000010051,0571,Manutenzione Straordinaria Stazioni (MI),6.92,31/12/2016
cdp2017,176,A00,J17E00000010061,0734,Fabbricati di stazione M.E.-Torino,8.18,31/12/2016
cdp2017,176,A00,J17E00000010071,0578,Fabbricati di stazione M.E. VR,1.53,31/12/2016
cdp2017,176,A00,J17E00000010091,0570,Manutenzione straordinaria stazioni,3.77,31/12/2016
cdp2017,176,A00,J17E00000010101,0593,Manutenzione Straordinaria Stazioni - BO,4.33,31/12/2016
cdp2017,176,A00,J17E00000010111,0577,Manutenzione straordinaria stazioni - VE,1.94,31/12/2016
cdp2017,176,A00,J17E00000010131,0573,Manutenzione Straordinaria Stazioni PA,3.03,31/12/2016
cdp2017,176,A00,J17E00000010151,0568,Fabbricati di stazione M.E.,8.99,31/12/2016
cdp2017,176,A00,J17E00000010161,0569,Fabbricati di stazione M.E. - FI,6.65,31/12/2016
cdp2017,176,A00,J17E00000010171,0576,Manutenzione straordinaria stazioni,1.38,31/12/2016
cdp2017,176,A00,J17E01000040001,0495,FA-Fabbricati civili e industr.-man.ord.,1.32,31/12/2016
cdp2017,176,A00,J17E91000000001,0636,Miglioramenti infrastrutturali M.E.FI,3.92,31/12/2016
cdp2017,176,A00,J17E91000000011,0634,Miglioramento infrastrutturale M.E.BA,45.54,31/12/2016
cdp2017,176,A00,J17E91000000021,0645,Miglioramenti infrastrutturali M.E.-VE,3.61,31/12/2016
cdp2017,176,A00,J17E91000000031,0638,Miglioramenti infrastrutturali M.E.NA,9.26,31/12/2016
cdp2017,176,A00,J17E91000000051,0733,Miglioramenti infrastr. Man.Eff.- MI,21.74,31/12/2016
cdp2017,176,A00,J17E91000000061,0637,Miglioramenti infrastrutturali M.E.GE,7.25,31/12/2016
cdp2017,176,A00,J17E91000000071,0633,Miglioramenti infrastrutturali M.E. AN,0.84,31/12/2016
cdp2017,176,A00,J17E91000000081,0635,Miglioramenti infrastrutturali M.E.BO,3.65,31/12/2016
cdp2017,176,A00,J17E91000000091,0640,Miglioram. infrastrutturali M.E.- R.C.,3.85,31/12/2016
cdp2017,176,A00,J17E91000000101,0643,Miglioramenti infrastrutturali M.E.- TO,2.19,31/12/2016
cdp2017,176,A00,J17E91000000151,0646,Miglioramenti infrastrutturali M.E.-VR,1.29,31/12/2016
cdp2017,176,A00,J17E91000000191,0641,Miglioramenti infrastrutturali M.E. -RM,1.48,31/12/2016
cdp2017,176,A00,J17E92000000001,0639,Miglioramenti infrastrutturali M.E.- PA,1.13,31/12/2016
cdp2017,176,A00,J17E99000010001,0505,Manut.Straord.Opere Dif.Infr.M.E.AN,28.41,31/12/2016
cdp2017,176,A00,J17E99000010011,0512,Manut.Straord.Opere Dif.Infr. NA,75.58,31/12/2016
cdp2017,176,A00,J17E99000010027,0513,Manut.Straord.Opere Dif.Infr. PA,73.14,31/12/2016
cdp2017,176,A00,J17E99000010032,0514,Manut.Straord.Opere Dif.Infr.M.E.RC,105.86,31/12/2016
cdp2017,176,A00,J17E99000010041,0515,Manut.Straord.Opere Dif.Infr.M.E.RM,77.23,31/12/2016
cdp2017,176,A00,J17E99000010057,0508,Manut.Straord.Opere Dif.Infr.CA,11.98,31/12/2016
cdp2017,176,A00,J17E99000010061,0521,Manut.Straord.Opere Dif.Infr.VE,40.68,31/12/2016
cdp2017,176,A00,J17E99000010071,0506,Manut.Straord.Opere Dif.Infr.BA,52.86,31/12/2016
cdp2017,177,A00,J17E99000010081,0509,Manut.Straord.Opere Dif.Infr.M.E.FI,71.15,31/12/2016
cdp2017,177,A00,J17E99000010091,0665,Manutenzione straordinaria e Opere a difesa dell'infrastruttura Reggio Calabria,0.16,31/12/2016
cdp2017,177,A00,J17E99000010101,0510,Manut.Straord.Opere Dif.Infr.M.E.GE,35.33,31/12/2016
cdp2017,177,A00,J17E99000010111,0522,Manut.Straord.Opere Dif.Infr.VR,44.3,31/12/2016
cdp2017,177,A00,J17E99000010121,0511,Manut.Straord.Opere Dif.Infr.M.E.MI,99.12,31/12/2016
cdp2017,177,A00,J17E99000010131,0662,Manutenzione straordinaria e Opere a difesa dell'infrastruttura - Mantenimento in efficienza - Napoli,0.01,31/12/2016
cdp2017,177,A00,J17E99000010151,0519,Manut.Straord.Opere Dif.Infr.M.E.TO,34.76,31/12/2016
cdp2017,177,A00,J17E99000010181,0520,Manut.Straord.Opere Dif.Infr.TS,30.84,31/12/2016
cdp2017,177,A00,J17E99000010191,0507,Manut.Straord.Opere Dif.Infr.M.E.BO,50.55,31/12/2016
cdp2017,177,A00,J17E99000010221,0517,Man.Str.Op.Dif.Infr.SettoreArm.eOp.Civ.,5.29,31/12/2016
cdp2017,177,A00,J17E99000010231,0537,M.Str.e Opere Dif.Infr. Sett. Tecnologie,0.14,31/12/2016
cdp2017,177,A00,J17E99000020007,0531,Obblighi di legge - PA,2.12,31/12/2016
cdp2017,177,A00,J17E99000020017,0532,Obblighi di legge - RC,4.9,31/12/2016
cdp2017,177,A00,J17E99000020021,0533,Obblighi legge - RM,4.14,31/12/2016
cdp2017,177,A00,J17E99000020031,0526,Obblighi di legge -CA,0.61,31/12/2016
cdp2017,177,A00,J17E99000020041,0540,Obblighi di legge VE,1.61,31/12/2016
cdp2017,177,A00,J17E99000020051,0530,Obblighi di legge - NA,3.53,31/12/2016
cdp2017,177,A00,J17E99000020061,0523,Obbighi di legge - AN,1.48,31/12/2016
cdp2017,177,A00,J17E99000020071,0525,Obblighi di legge - BO,1.15,31/12/2016
cdp2017,177,A00,J17E99000020081,0527,Obblighi di legge -FI,3.33,31/12/2016
cdp2017,177,A00,J17E99000020091,0541,Obblighi di legge -VR,2.29,31/12/2016
cdp2017,177,A00,J17E99000020131,0529,Obblighi di legge - MI,4.15,31/12/2016
cdp2017,177,A00,J17E99000020191,0528,Obblighi di legge - GE,0.7,31/12/2016
